date,channel,campaign_type,geo_region,geo_subregion,device,experiment_id,experiment_group,spend,impressions,clicks,conversions,incremental_conversions,revenue,cpm,cpc,cpa,roi,incremental_roi
2024-01-01,Search,Retargeting,US,California,Mobile,EXP101,Treatment,2829.9848545285126,169956,1642,49,32,8291.221075496542,16.65127947544372,1.7234986933791185,57.754792949561484,2.9297757767957715,1.9133229562747895
2024-01-01,Search,Retargeting,US,California,Desktop,EXP101,Treatment,2529.6322368059487,101144,820,34,26,7392.536672113146,25.010205615814566,3.0849173619584738,74.40094814135144,2.922376053148091,2.2347581582897167
2024-01-01,Search,Acquisition,US,Texas,Mobile,EXP101,Treatment,2710.5825662803923,116389,1082,39,30,9052.705333335312,23.288992656354054,2.505159488244355,69.50211708411263,3.339763726790999,2.5690490206084604
2024-01-01,Search,Acquisition,US,Texas,Desktop,EXP103,Treatment,1489.957156047863,71276,445,18,11,1456.8976783982234,20.904051238114693,3.348218328197445,82.7753975582146,0.9778117931005946,0.5975516513392523
2024-01-01,Search,Retargeting,US,New York,Mobile,EXP101,Control,2975.438851328014,156128,743,27,0,3917.6343551198947,19.057688891986153,4.004628332877543,110.2014389380746,1.3166576598848114,0.0
2024-01-01,Search,Awareness,US,New York,Desktop,EXP103,Control,2804.323802912183,145731,818,39,0,6699.146435330093,19.243152129006067,3.4282687077166054,71.90573853620982,2.388863378891298,0.0
2024-01-01,Search,Retargeting,EU,Germany,Mobile,EXP101,Treatment,1724.37863228442,121023,664,31,20,4730.858046060371,14.24835471178553,2.5969557715126808,55.62511717046517,2.7435146536193336,1.7700094539479574
2024-01-01,Search,Retargeting,EU,Germany,Desktop,EXP101,Control,1017.3803263279767,78486,516,20,0,3290.6449200341103,12.96257073016814,1.9716672990852262,50.869016316398834,3.2344294801836897,0.0
2024-01-01,Search,Awareness,EU,France,Mobile,EXP101,Treatment,1666.9525356882125,106743,880,34,25,5438.337667098102,15.616504461072038,1.8942642451002414,49.02801575553566,3.2624430214222317,2.3988551628104644
2024-01-01,Search,Retargeting,EU,France,Desktop,EXP102,Control,3041.0796830484596,140795,811,35,0,5880.620535638506,21.599344316548596,3.7497899914284334,86.88799094424171,1.9337278692229514,0.0
2024-01-01,Search,Awareness,EU,UK,Mobile,EXP103,Control,1283.6838031014727,74145,610,21,0,2926.678181367199,17.31315399691783,2.104399677215529,61.12780014768917,2.2799058259488305,0.0
2024-01-01,Search,Acquisition,EU,UK,Desktop,EXP103,Control,2949.6888646440593,89847,432,18,0,2126.264086949313,32.83013194256969,6.82798348297236,163.87160359133662,0.7208435141873482,0.0
2024-01-01,Search,Acquisition,APAC,India,Mobile,EXP101,Control,1813.4992453981695,62898,436,15,0,3226.7688240312036,28.832383309456095,4.159401938986627,120.8999496932113,1.7793053028388433,0.0
2024-01-01,Search,Awareness,APAC,India,Desktop,EXP103,Treatment,1488.1074694951112,114618,1333,64,50,14400.742875484877,12.983191728132677,1.1163596920443446,23.251679210861113,9.677219670411839,7.56032786750925
2024-01-01,Search,Retargeting,APAC,Australia,Mobile,EXP101,Treatment,1671.187142225392,56019,317,13,8,2606.6933031713625,29.83250579670098,5.271883729417641,128.55285709426093,1.5597853988394312,0.9598679377473421
2024-01-01,Search,Retargeting,APAC,Australia,Desktop,EXP102,Treatment,2049.452141115691,81391,371,14,10,1901.003348589862,25.1803287969885,5.524129760419653,146.3894386511208,0.9275665971662965,0.6625475694044975
2024-01-01,Search,Awareness,APAC,Japan,Mobile,EXP102,Treatment,3097.3337551734085,143507,1524,53,39,5486.561362684391,21.583154516319123,2.032371230428746,58.440259531573744,1.7713820325369547,1.3034697975271932
2024-01-01,Search,Acquisition,APAC,Japan,Desktop,EXP102,Treatment,1807.3911823531148,141215,1509,66,49,12687.414566772944,12.798861185802604,1.1977410088489826,27.384714884138102,7.019739108306754,5.211624489500469
